;;life and good health;life and good health;education, skill-building and knowledge;education, skill-building and knowledge;education, skill-building and knowledge;education, skill-building and knowledge;labour and financial inclusion;labour and financial inclusion;labour and financial inclusion;labour and financial inclusion;participation in decisionmaking;participation in decisionmaking;participation in decisionmaking
;GGPI;fraction of life expectancy at birth spent in good health;fraction of life expectancy at birth spent in good health;population with completed secondary education or higher;population with completed secondary education or higher;youth not in education, employment or training ;youth not in education, employment or training ;labour force participation rate among prime-working-age individuals who are living as part of a household comprising couple and at least one child under age 6;labour force participation rate among prime-working-age individuals who are living as part of a household comprising couple and at least one child under age 6;account ownership at a financial institution or with a mobile-money-service provider ;account ownership at a financial institution or with a mobile-money-service provider ;share of seats held by women;share of seats held by women;
country;value;female;male;female;male;female;male;female;male;female;male;in parliament;in local government;Share of managerial positions held by women
Eritrea;..;86.03668916;87.95047864;..;..;..;..;..;..;..;..;22;..;..
Eswatini (Kingdom of);..;85.22711742;88.22270629;10.2;11.4;41.19;29.92;53.9;76.6;..;..;22.11538462;14.2;43.42059938
Ethiopia;..;86.23261536;88.16971306;6.828436051;17.1141604;24.88;9.87;63.1;95.7;29.08;40.94;38.7987013;..;25.42875313
Fiji;..;86.42678921;88.78887367;50.59904454;45.07029335;29.59;10.83;40.7;96.7;..;..;10.90909091;— ;38.88516158
Gabon;..;85.08827016;88.04471067;53.4;36.8;..;..;..;..;61.3;71.47;17.61904762;..;..
Georgia;..;87.3356912;89.30609566;91.8282209;92.63780158;26.37;23.58;..;..;70.71;70.25;18.43971631;23.7;36.12530895
Grenada;..;86.75936145;88.6287956;..;..;31;29;74.3;100;..;..;31.03448276;— ;..
Guinea-Bissau;..;85.9307574;89.04553119;6.679402828;14.89501095;29.85;18.3;..;..;..;..;13.7254902;— ;..
Guyana;..;86.08797058;88.14858276;35.93352088;31.27846895;53.58;38.89;40.9;81.6;..;..;36.61971831;38.7;46.78817118
Haiti;..;86.10806477;88.21525538;14.3;40.9;27.88;14.25;65.4;94.7;30.05;35.35;2.739726027;— ;..
Hong Kong, China (SAR);..;..;..;62.82737515;66.66786171;6.33;8.14;55.8;96.1;98.19;97.33;..;..;33.05154649
Kazakhstan;..;86.82979411;89.13594927;96.89830017;97.97015381;9.9;4.8;..;..;83.63;78.29;25.64102564;30.5;41.10876767
Kiribati;..;87.34257888;89.87262387;..;..;49.77;45.51;46.4;76.7;..;..;6.666666667;7.3;43.34877565
Korea (Democratic People's Rep. of);..;87.95696816;91.35080256;..;..;..;..;..;..;..;..;17.61280932;..;..
Korea (Republic of);..;86.72611805;88.78973134;74.80589609;85.98862108;21;21;..;..;98.68;98.66;19.06354515;30.3;14.60218459
Kuwait;..;84.68964319;87.70506748;41.57302205;27.98692121;..;..;..;..;73.46;83.31;6.25;— ;13.6126189
Kyrgyzstan;..;87.60909275;89.91328626;95.87378174;93.57063911;22.05;9.97;47.4;69;43.76;46.54;20;..;42.84722624
Libya;..;84.68712048;87.47584623;64.8;33.3;..;..;..;..;59.62;70.69;16.47058824;14.3;..
Liechtenstein;..;..;..;..;..;..;..;..;..;..;..;28;39.1;..
Madagascar;..;86.69937461;88.74120996;8.736423189;10.94610612;4.27;3.31;94;99.8;16.31;19.61;17.75147929;..;31.76570723
