;;;;;;;;;;;;;;;;Fraction of life expectancy at birth spent in good health;Fraction of life expectancy at birth spent in good health;Population with completed secondary education or higher;Population with completed secondary education or higher;Youth not in education, employment or training ;Youth not in education, employment or training ;Labour force participation rate among prime-working-age individuals who are living as part of a household comprising couple and at least one child under age 6;Labour force participation rate among prime-working-age individuals who are living as part of a household comprising couple and at least one child under age 6;Account ownership at a financial institution or with a mobile-money-service provider ;Account ownership at a financial institution or with a mobile-money-service provider ;
Country;WEI;Women's empowerment group;GGPI;Gender parity group;Human development group;Sustainable development goal regions;Women of reproductive age whose need for family planning is satisfied with modern methods;Adolescent birth rate;Population with completed secondary education or higher, female ;Youth not in education, employment or training, female ;Labour force participation rate among prime-working-age individuals who are living in a household comprising a couple and at least one child under age 6, female;Account ownership at a financial institution or with a mobile-money-service provider, female;Share of seats held by women in parliament;Share of managerial positions held by women;Ever-partnered women and girls subjected to physical and/or sexual violence by a current or former intimate partner in the previous 12 months ;Female;Male;Female;Male;Female;Male;Female;Male;Female;Male;
Lebanon;0.372;Low;0.422;Low;High;Northern Africa and Western Asia;62.4;20.04;32.51166916;28.89;22.5;16.59;6.25;21.20594901;18.16481361;84.70521631;87.8890273;32.51166916;33.38732147;28.89;17.91;22.5;97.6;16.59;24.65;
Lesotho;0.531;Low;0.784;Upper-middle;Low;Sub-Saharan Africa;82.9;89.077;18.7198364;42.14;60.8;46.46;25.97402597;33.7833935;16;85.5887921;88.78228994;18.7198364;19.84116731;42.14;28.2;60.8;78.8;46.46;44.6;
Liberia;0.435;Low;0.604;Lower-middle;Low;Sub-Saharan Africa;49.5;121.996;17;41.55;73.1;44.2;9.708737864;52.45111498;27;84.5792805;86.86684625;17;30.6;41.55;39.85;73.1;85.9;44.2;59.34;
Lithuania;0.756;Upper-middle;0.793;Upper-middle;Very high;Europe and Northern America;72.6;9.714;89.02606964;10.9;83.2;90.38;28.36879433;36.97486983;5;86.62459883;89.07142807;89.02606964;90.87732697;10.9;11.7;83.2;97.6;90.38;96.99;
Luxembourg;0.737;Upper-middle;0.757;Upper-middle;Very high;Europe and Northern America;80.1;4.248;72.47380752;7.35;77.6;98.18;35;21.94624792;4;85.4626825;88.21012777;72.47380752;69.83581372;7.35;9.92;77.6;97.4;98.18;99.35;
Malawi;0.464;Low;0.606;Lower-middle;Low;Sub-Saharan Africa;78.1;117.23;12.3581061;24.89;68.9;38.14;20.7253886;15.62426105;17;85.62640687;88.42454164;12.3581061;14.48654209;24.89;13.67;68.9;86;38.14;47.75;
Maldives;0.518;Low;0.575;Low;High;Central Asia and Southern Asia;33.5;6.814;9.077562097;28.51;46.5;74.18;4.597701149;18.65715212;6;86.70745897;88.67455207;9.077562097;10.89050814;28.51;24.07;46.5;95.1;74.18;85.47;
Mali;0.4;Low;0.579;Low;Low;Sub-Saharan Africa;45.5;147.652;3.203279972;43.32;56.9;41.21;28.57142857;17.4410964;18;85.89142581;88.15633346;3.203279972;7.813950062;43.32;15.21;56.9;98.4;41.21;45.93;
Malta;0.696;Lower-middle;0.747;Upper-middle;Very high;Europe and Northern America;75;11.509;47.09664917;13.74;75.8;95.33;27.84810127;28.9203169;4;85.85288236;88.70384367;47.09664917;49.3698616;13.74;13.29;75.8;99.2;95.33;97.57;
Mauritius;0.613;Lower-middle;0.728;Upper-middle;Very high;Sub-Saharan Africa;56.9;24.023;52.5842392;33.3;56.1;89.4;20;39.41358257;13.2065024;85.29991266;87.39194385;52.5842392;54.02499237;33.3;31.56;56.1;88;89.4;91.74;
Mexico;0.598;Low;0.803;High;High;Latin America and the Caribbean;81.6;53.693;35.20999908;26.73;42.2;33.29;50.07974482;38.46876503;10;85.24588103;87.90009679;35.20999908;37.49000168;26.73;10.15;42.2;97.6;33.29;41.1;
Moldova (Republic of);0.686;Lower-middle;0.878;High;High;Europe and Northern America;63.7;27.208;73.6015761;13.29;51.3;62.92;38.61386139;44.5901228;9;86.99217395;89.33275639;73.6015761;75.59329143;13.29;13.8;51.3;55.2;62.92;65.7;
Mongolia;0.67;Lower-middle;0.784;Upper-middle;High;Eastern Asia and South-Eastern Asia;69.8;25.031;50.49887085;18.06;66.8;98.97;17.10526316;45.66068347;12;87.68036187;89.40040978;50.49887085;38.87406158;18.06;16.28;66.8;93.4;98.97;97.89;
Montenegro;0.64;Lower-middle;0.719;Upper-middle;Very high;Europe and Northern America;41.2;9.747;77.63869132;20.65;39.1;67.57;28.39506173;32.11799513;4;87.39850981;89.17787481;77.63869132;87.87278105;20.65;21.51;39.1;92.6;67.57;69.19;
Myanmar;0.518;Low;0.598;Low;Medium;Eastern Asia and South-Eastern Asia;78.7;32.764;21.85656929;20.72;43.9;46.15;14.97659906;27.81287434;11;86.93877404;89.26240013;21.85656929;23.90452957;20.72;8.88;43.9;98.3;46.15;49.52;
Namibia;0.617;Lower-middle;0.856;High;Medium;Sub-Saharan Africa;83;63.074;22.27683129;34.34;73.3;69.31;35.61643836;43.56625302;16;85.64503281;88.15078281;22.27683129;25.46805062;34.34;29.37;73.3;91.2;69.31;73.67;
Nepal;0.491;Low;0.618;Lower-middle;Medium;Central Asia and Southern Asia;63.5;63.358;18.45714032;45.82;33.7;49.9;33.93393393;13.16710825;11;85.33956541;88.02902133;18.45714032;29.5125702;45.82;21.16;33.7;78.3;49.9;58.61;
Netherlands;0.778;Upper-middle;0.807;High;Very high;Europe and Northern America;88.4;2.747;69.79843903;5.01;85;99.47;37.77777778;25.9520004;5;85.99285168;88.74480617;69.79843903;76.22647858;5.01;5.21;85;95.8;99.47;100;
Niger;0.307;Low;0.662;Lower-middle;Low;Sub-Saharan Africa;40.5;168.04;4.03939876;77.21;67.7;10.91;30.72289157;49.31062537;13;86.45084893;89.06635346;4.03939876;6.12677238;77.21;56.94;67.7;97.7;10.91;19.94;
