country;wei;weg;ggpi;gender_parity_group;human_development_group;sustainable_development_goal_regions;family;birth_rate;education;youth_not_in_education ;labour_force_participation_rate;account_ownership;politics;managerial_positions;violence;good_health_female;good_health_male;secondary_education_female;secondary_education_male;youth_not_in_education_female;youth_not_in_education_male;labour_force_participation_female;labour_force_participation_male;account_ownershipt_female;account_ownershipt_male
Sierra Leone;0.44;Low;0.59;Low;Low;Sub-Saharan Africa;56.8;97.94;7.77;34.81;65;24.8;13;35.91;20;86.09;88.12;7.77;20.1;34.81;31.23;65;83.6;24.76;33.35
Singapore;0.76;Upper-middle;0.78;Upper-middle;Very high;Eastern Asia and South-Eastern Asia;77.5;2.46;72.3;6.03;67.7;96.9;29.1;38.14;2;87.43;89.32;72.3;77.04;6.03;6.35;67.7;94.3;96.87;98.27
Slovakia;0.7;Lower-middle;0.7;Lower-middle;Very high;Europe and Northern America;78.2;26.62;85.02;11.49;39.4;94;22;37.99;6;86.89;88.4;85.02;91.62;11.49;10.68;39.4;97;94.01;97.36
Slovenia;0.79;Upper-middle;0.82;High;Very high;Europe and Northern America;78.6;4.37;80.27;6.37;93;98.2;31.5;33.99;3;86.22;87.82;80.27;86.85;6.37;6.8;93;100;98.15;100
South Africa;0.68;Lower-middle;0.82;High;High;Sub-Saharan Africa;81.8;60.89;52.78;32.36;75.9;86.2;46.1;31.62;13;84.48;87.76;52.78;79.22;32.36;28.83;75.88;90.35;86.18;84.56
Spain;0.77;Upper-middle;0.86;High;Very high;Europe and Northern America;86.3;6.35;53.38;10.14;81;97.5;41;33.32;3;85.03;88.33;53.38;53.12;10.14;11.75;81;95.7;97.49;99.11
Sri Lanka;0.57;Low;0.52;Low;High;Central Asia and Southern Asia;73.7;15.36;63.96;27.5;31.7;89.3;5.3;27.01;4;86.41;88.15;63.96;63.35;27.5;15.33;31.7;97.6;89.28;89.26
Sweden;0.83;High;0.93;High;Very high;Europe and Northern America;86.7;3.31;77.91;4.66;82.8;100;46.4;42.98;6;85.88;88.7;77.91;77.74;4.66;5.42;82.8;94;100;99.39
Switzerland;0.79;Upper-middle;0.82;High;Very high;Europe and Northern America;88.6;2.2;84.36;9.12;57.1;99;39.3;31.51;2;85.6;88.3;84.36;89.82;9.12;10.61;57.1;85.1;99.02;100
Tanzania (United Republic of);0.51;Low;0.71;Upper-middle;Low;Sub-Saharan Africa;62;123.44;3.98;19.29;86.1;46;37.4;27.91;24;85.56;88.15;3.98;7.25;19.29;9.06;86.1;99.4;46.03;59.37
